,dt_venda,nome_funcionario,cargo,nome_loja,descricao_produto,categoria,preco_custo,valor_unitario,quantidade,dt_entrega,valor_final,mes,ano,meta,lucro,magem_lucro,pazo_entrega
0,2020-08-25 10:04:00,Felipe Marinho,Vendedor,Filial SP,Fogão,Eletrodomésticos,210.9,404.1,3,2020-08-31 16:39:00,1212.3000000000002,8,2020,285000,579.6,0.47809948032665184,6 days 06:35:00
1,2020-06-10 15:34:00,Felipe Marinho,Vendedor,Filial SP,Liquidificador,Cozinha,59.9,142.4,2,2020-06-11 13:59:00,284.8,6,2020,285000,165.0,0.5793539325842696,0 days 22:25:00
2,2019-03-21 15:58:00,Felipe Marinho,Vendedor,Filial SP,Fogão,Eletrodomésticos,210.9,404.1,2,2019-03-28 09:44:00,808.2,3,2019,285000,386.40000000000003,0.47809948032665184,6 days 17:46:00
3,2019-09-16 14:46:00,Felipe Marinho,Vendedor,Filial SP,Máquina Lavar Roupa,Eletrodomésticos,1099.0,1709.1,2,2019-09-20 09:22:00,3418.2,9,2019,285000,1220.1999999999998,0.35697150547071554,3 days 18:36:00
4,2019-11-25 16:28:00,Felipe Marinho,Vendedor,Filial SP,Notebook,Eletrônicos,2299.9,3199.0,2,2019-11-26 13:42:00,6398.0,11,2019,285000,1798.1999999999998,0.28105658018130664,0 days 21:14:00
5,2019-09-28 12:02:00,Felipe Marinho,Vendedor,Filial SP,Colchão,Casa,109.9,249.9,2,2019-09-28 14:06:00,499.8,9,2019,285000,280.0,0.5602240896358543,0 days 02:04:00
6,2019-11-01 11:05:00,Felipe Marinho,Vendedor,Filial SP,Fritadeira elétrica,Cozinha,187.9,340.0,2,2019-11-01 13:45:00,680.0,11,2019,285000,304.2,0.44735294117647056,0 days 02:40:00
7,2020-11-01 11:48:00,Felipe Marinho,Vendedor,Filial SP,Colchão,Casa,109.9,249.9,2,2020-11-01 12:31:00,499.8,11,2020,285000,280.0,0.5602240896358543,0 days 00:43:00
8,2020-06-23 10:47:00,Felipe Marinho,Vendedor,Filial SP,Colchão,Casa,109.9,249.9,2,2020-06-23 15:56:00,499.8,6,2020,285000,280.0,0.5602240896358543,0 days 05:09:00
9,2020-04-01 16:50:00,Felipe Marinho,Vendedor,Filial SP,Fritadeira elétrica,Cozinha,187.9,340.0,2,2020-04-02 15:20:00,680.0,4,2020,285000,304.2,0.44735294117647056,0 days 22:30:00
10,2020-01-27 17:32:00,Felipe Marinho,Vendedor,Filial SP,Fritadeira elétrica,Cozinha,187.9,340.0,2,2020-01-28 16:20:00,680.0,1,2020,285000,304.2,0.44735294117647056,0 days 22:48:00
11,2020-07-13 15:57:00,Felipe Marinho,Vendedor,Filial SP,Televisão,Eletrodomésticos,1400.9,2279.99,2,2020-07-17 15:48:00,4559.98,7,2020,285000,1758.1799999999994,0.38556748055912515,3 days 23:51:00
12,2019-12-22 13:18:00,Felipe Marinho,Vendedor,Filial SP,Televisão,Eletrodomésticos,1400.9,2279.99,2,2019-12-26 16:18:00,4559.98,12,2019,285000,1758.1799999999994,0.38556748055912515,4 days 03:00:00
13,2020-02-16 16:12:00,Felipe Marinho,Vendedor,Filial SP,Televisão,Eletrodomésticos,1400.9,2279.99,2,2020-02-19 11:21:00,4559.98,2,2020,285000,1758.1799999999994,0.38556748055912515,2 days 19:09:00
14,2019-05-26 16:34:00,Felipe Marinho,Vendedor,Filial SP,Sofá,Casa,789.9,1399.0,2,2019-05-28 13:35:00,2798.0,5,2019,285000,1218.2,0.43538241601143673,1 days 21:01:00
15,2020-07-02 12:27:00,Felipe Marinho,Vendedor,Filial SP,Processador de alimentos,Cozinha,110.0,189.9,2,2020-07-02 16:27:00,379.8,7,2020,285000,159.8,0.4207477619799895,0 days 04:00:00
16,2019-12-05 14:57:00,Felipe Marinho,Vendedor,Filial SP,Fogão,Eletrodomésticos,210.9,404.1,2,2019-12-12 13:12:00,808.2,12,2019,285000,386.40000000000003,0.47809948032665184,6 days 22:15:00
17,2019-06-21 10:21:00,Felipe Marinho,Vendedor,Filial SP,Ferro de passar,Casa,27.9,55.9,2,2019-06-21 10:31:00,111.8,6,2019,285000,56.0,0.5008944543828265,0 days 00:10:00
18,2019-03-25 13:01:00,Felipe Marinho,Vendedor,Filial SP,Guarda Roupa,Casa,489.9,999.0,2,2019-03-31 13:46:00,1998.0,3,2019,285000,1018.2,0.5096096096096097,6 days 00:45:00
19,2020-12-10 11:41:00,Felipe Marinho,Vendedor,Filial SP,Tablet,Eletrônicos,799.0,1424.91,2,2020-12-10 15:53:00,2849.82,12,2020,285000,1251.8200000000002,0.43926283063491733,0 days 04:12:00
20,2020-09-08 17:12:00,Felipe Marinho,Vendedor,Filial SP,Colchão,Casa,109.9,249.9,3,2020-09-09 10:18:00,749.7,9,2020,285000,420.0,0.5602240896358543,0 days 17:06:00
21,2019-01-15 12:15:00,Felipe Marinho,Vendedor,Filial SP,Aspirador de pó,Casa,88.9,189.9,2,2019-01-15 16:14:00,379.8,1,2019,285000,202.0,0.5318588730911006,0 days 03:59:00
22,2019-12-14 13:44:00,Felipe Marinho,Vendedor,Filial SP,Notebook,Eletrônicos,2299.9,3199.0,2,2019-12-15 09:06:00,6398.0,12,2019,285000,1798.1999999999998,0.28105658018130664,0 days 19:22:00
23,2020-05-31 17:46:00,Felipe Marinho,Vendedor,Filial SP,Notebook,Eletrônicos,2299.9,3199.0,2,2020-06-01 15:56:00,6398.0,5,2020,285000,1798.1999999999998,0.28105658018130664,0 days 22:10:00
24,2019-02-04 13:45:00,Felipe Marinho,Vendedor,Filial SP,Liquidificador,Cozinha,59.9,142.4,3,2019-02-04 16:26:00,427.2000000000001,2,2019,285000,247.5,0.5793539325842696,0 days 02:41:00
25,2019-07-04 09:50:00,Felipe Marinho,Vendedor,Filial SP,Geladeira,Eletrodomésticos,699.9,1346.9,3,2019-07-10 14:18:00,4040.7,7,2019,285000,1941.0000000000005,0.4803623134605391,6 days 04:28:00
26,2019-08-10 16:08:00,Felipe Marinho,Vendedor,Filial SP,Máquina Lavar Roupa,Eletrodomésticos,1099.0,1709.1,3,2019-08-13 14:12:00,5127.299999999999,8,2019,285000,1830.2999999999997,0.35697150547071554,2 days 22:04:00
27,2020-02-21 14:19:00,Felipe Marinho,Vendedor,Filial SP,Smartphone,Eletrônicos,899.9,1676.9,3,2020-02-22 10:54:00,5030.700000000001,2,2020,285000,2331.0000000000005,0.4633550002981693,0 days 20:35:00
28,2019-03-30 11:14:00,Felipe Marinho,Vendedor,Filial SP,Microondas,Eletrodomésticos,189.0,364.5,3,2019-03-31 10:21:00,1093.5,3,2019,285000,526.5,0.48148148148148145,0 days 23:07:00
29,2019-05-31 14:14:00,Felipe Marinho,Vendedor,Filial SP,Máquina Lavar Roupa,Eletrodomésticos,1099.0,1709.1,2,2019-06-03 10:17:00,3418.2,5,2019,285000,1220.1999999999998,0.35697150547071554,2 days 20:03:00
30,2019-12-05 17:38:00,Felipe Marinho,Vendedor,Filial SP,Geladeira,Eletrodomésticos,699.9,1346.9,2,2019-12-11 10:47:00,2693.8,12,2019,285000,1294.0000000000002,0.4803623134605391,5 days 17:09:00
31,2019-04-16 17:44:00,Felipe Marinho,Vendedor,Filial SP,Televisão,Eletrodomésticos,1400.9,2279.99,2,2019-04-22 12:04:00,4559.98,4,2019,285000,1758.1799999999994,0.38556748055912515,5 days 18:20:00
32,2019-07-14 14:39:00,Felipe Marinho,Vendedor,Filial SP,Televisão,Eletrodomésticos,1400.9,2279.99,2,2019-07-18 15:37:00,4559.98,7,2019,285000,1758.1799999999994,0.38556748055912515,4 days 00:58:00
33,2019-09-27 10:07:00,Felipe Marinho,Vendedor,Filial SP,Processador de alimentos,Cozinha,110.0,189.9,2,2019-09-27 11:10:00,379.8,9,2019,285000,159.8,0.4207477619799895,0 days 01:03:00
34,2019-07-20 13:32:00,Felipe Marinho,Vendedor,Filial SP,Cafeteira,Cozinha,159.9,284.9,2,2019-07-21 09:09:00,569.8,7,2019,285000,249.99999999999994,0.4387504387504387,0 days 19:37:00
35,2019-02-13 11:35:00,Felipe Marinho,Vendedor,Filial SP,Aspirador de pó,Casa,88.9,189.9,2,2019-02-13 16:31:00,379.8,2,2019,285000,202.0,0.5318588730911006,0 days 04:56:00
36,2019-11-05 17:00:00,Felipe Marinho,Vendedor,Filial SP,Notebook,Eletrônicos,2299.9,3199.0,2,2019-11-06 13:07:00,6398.0,11,2019,285000,1798.1999999999998,0.28105658018130664,0 days 20:07:00
37,2019-11-19 17:50:00,Felipe Marinho,Vendedor,Filial SP,Cafeteira,Cozinha,159.9,284.9,2,2019-11-20 16:35:00,569.8,11,2019,285000,249.99999999999994,0.4387504387504387,0 days 22:45:00
38,2019-03-04 10:04:00,Felipe Marinho,Vendedor,Filial SP,Batedeira,Cozinha,49.9,95.9,2,2019-03-04 13:02:00,191.8,3,2019,285000,92.00000000000001,0.4796663190823775,0 days 02:58:00
